Cliente,Recencia,Frecuencia,Monto,Sexo,GSE,Edad
1,2,4,37.935,,,
2,1,1,6.745,FEM,,62
3,2,5,99.15,MAS,C3,92
4,1,12,601.15,MAS,C3,88
5,10,1,5.197,MAS,D,92
6,1,9,255.298,MAS,ABC1,91
7,3,2,65.558,FEM,ABC1,87
8,2,7,139.908,MAS,,90
9,1,5,139.903,MAS,ABC1,90
10,2,2,62.497,MAS,C3,91
11,1,5,81.726,FEM,ABC1,98
12,3,1,0.819,FEM,ABC1,90
13,1,8,113.273,MAS,D,91
14,2,7,23.812,FEM,C3,91
15,3,6,119.664,MAS,ABC1,85
16,1,2,148.395,FEM,C3,85
17,1,12,438.263,FEM,C3,96
18,1,8,392.238,MAS,C3,91
19,1,12,686.523,FEM,C3,94
20,1,9,323.632,MAS,D,92
21,1,10,693.646,MAS,ABC1,88
22,1,8,604.491,MAS,C3,86
23,1,7,36.676,FEM,,94
24,6,1,0.749,,,
25,1,12,499.796,FEM,C3,92
26,1,9,180.804,FEM,C3,84
27,1,11,436.032,FEM,C3,88
28,8,2,9.639,,C3,
29,1,12,592.874,MAS,C3,90
30,3,4,13.088,MAS,C3,81
31,1,11,492.192,MAS,C3,89
32,6,6,374.12,MAS,D,89
33,1,12,289.971,MAS,ABC1,86
34,1,12,387.672,MAS,C3,80
35,7,1,8.16,FEM,D,84
36,3,2,17.06,FEM,E,89
37,12,1,15.118,MAS,C3,87
38,1,2,74.355,MAS,ABC1,82
39,1,1,1.845,FEM,D,83
40,1,6,208.776,MAS,D,88
41,1,11,450.073,MAS,ABC1,80
42,6,1,4.351,MAS,C3,83
43,1,11,328.923,FEM,,88
44,1,5,153.155,FEM,C3,82
45,3,2,22.395,MAS,D,81
46,3,6,38.432,MAS,C3,83
47,5,2,22.084,MAS,C2,85
48,4,6,89.58,FEM,,83
49,1,12,443.214,FEM,ABC1,88
50,2,1,21.539,FEM,C3,89
51,8,1,7.023,FEM,C3,86
52,5,1,19.105,FEM,C3,89
53,4,3,12.462,MAS,D,85
54,2,7,151.404,FEM,C3,83
55,1,3,14.782,FEM,E,85
56,1,1,1.672,FEM,,
57,1,10,118.178,FEM,C3,85
58,1,2,17.882,FEM,C3,80
59,11,1,6.35,FEM,D,88
60,1,10,249.956,FEM,D,87
61,4,1,6.043,MAS,C3,81
62,1,9,196.375,MAS,C3,81
63,2,8,241.057,FEM,,87
64,9,1,37.44,MAS,C3,85
65,1,12,494.993,FEM,D,87
66,1,7,128.332,MAS,C3,86
67,2,2,3.229,MAS,C3,84
68,1,10,284.763,FEM,C3,79
69,1,5,28.446,FEM,D,83
70,1,9,202.656,FEM,ABC1,93
71,2,3,7.338,,E,
72,1,10,236.422,MAS,C3,85
73,1,3,40.989,MAS,C3,84
74,1,10,265.563,MAS,C3,89
75,1,10,291.669,MAS,D,88
76,1,2,13.353,MAS,C3,75
77,12,1,6.529,FEM,E,92
78,1,11,399.749,MAS,ABC1,89
79,1,12,1144.885,MAS,D,44
80,1,1,5.797,FEM,C3,86
81,1,7,144.835,MAS,ABC1,78
82,2,9,40.378,MAS,E,83
83,1,10,188.604,MAS,,89
84,1,7,352.789,FEM,C3,91
85,9,3,60.561,MAS,D,86
86,9,2,19.008,FEM,D,93
87,7,3,34.779,FEM,C3,83
88,1,9,239.849,FEM,E,84
89,4,6,174.343,FEM,E,83
90,3,1,6.16,FEM,E,84
91,1,2,126.192,MAS,C3,80
